name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,nsam
adults,clin,surv,0.2733560024249723,0.025454204828110925,16164.726,0.08,0.5,0.15,0.84,0.5,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.2745695943569308,0.023982953885909212,19403.3,0.08,0.5,0.15,0.84,0.6,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.27290022270505643,0.022311178775106483,22636.748,0.08,0.5,0.15,0.84,0.7000000000000001,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.27312968951478134,0.02195281577263094,25869.416,0.08,0.5,0.15,0.84,0.8,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.271788841718704,0.020154241979034634,29101.118,0.08,0.5,0.15,0.84,0.9,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,surv,0.2746665284807029,0.034706385304764935,9234.8,0.08,0.5,0.15,0.84,1,0.1,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,surv,0.2720134655514538,0.025787937414419655,18477.424,0.08,0.5,0.15,0.84,1,0.2,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,surv,0.2740171062974197,0.021385687726273334,27706.214,0.08,0.5,0.15,0.84,1,0.30000000000000004,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,surv,0.27272353422777224,0.018802251715528503,32331.812,0.08,0.5,0.15,0.84,1,0.35,0,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,surv,0.2734603391893266,0.019605050028757412,32350.242,0.08,0.5,0.15,0.84,1,0.35,0.05,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,surv,0.27421017661691954,0.018260836941306455,32333.452,0.08,0.5,0.15,0.84,1,0.35,0.1,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,surv,0.2620276402223343,0.01971249952213224,32328.752,0.08,0.5,0.15,0.84,1,0.35,0.15,0.9,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,surv,0.2642951223907228,0.019195649138310504,32340.302,0.08,0.5,0.15,0.84,1,0.35,0.15,0.91,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,surv,0.26585156213708483,0.02020376136078481,32342.678,0.08,0.5,0.15,0.84,1,0.35,0.15,0.92,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,surv,0.2685967906182784,0.01932018144242271,32350.028,0.08,0.5,0.15,0.84,1,0.35,0.15,0.93,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,surv,0.2713306768381696,0.019409360651460435,32347.042,0.08,0.5,0.15,0.84,1,0.35,0.15,0.9400000000000001,0.8,0.86,0.984,1,0.25,500000
